"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.27650532987239,0.887,0.646,0,"3","Epha4"
0,0.548488929422148,0.477,0.243,0,"3","Celsr3"
0,0.615516478980366,0.615,0.381,0,"3","Hrh3"
0,0.611233078771559,0.449,0.216,0,"3","Epha5"
0,0.76473419583549,0.356,0.128,0,"3","Oprd1"
0,0.422060565157745,0.437,0.221,0,"3","Gpr63"
0,0.465906002808621,0.409,0.198,0,"3","Crhr1"
0,0.445151293539217,0.426,0.222,0,"3","Gpr135"
0,0.76246520173683,0.341,0.142,0,"3","Npy1r"
0,0.937495830948525,0.313,0.115,0,"3","Opn3"
0,0.59775837846245,0.375,0.18,0,"3","Epha3"
0,0.739802971699087,0.329,0.144,0,"3","Mchr1"
0,0.692633674152646,0.333,0.154,0,"3","Adra1d"
0,1.31405629729603,0.251,0.074,0,"3","Met"
0,0.28960344556484,0.385,0.21,0,"3","Gpr173"
0,1.00779084865392,0.283,0.127,0,"3","Htr2a"
0,0.684006208380401,0.279,0.137,0,"3","Chrm2"
0,3.6773574064485,0.96,0.33,0,"4","Fgfr3"
0,2.88247430322483,0.827,0.224,0,"4","Aqp4"
0,3.00781261646852,0.91,0.318,0,"4","S1pr1"
0,3.50215458112502,0.984,0.394,0,"4","Gpr37l1"
0,2.64787858647506,0.812,0.259,0,"4","Sox9"
0,2.78046295347063,0.842,0.303,0,"4","Mertk"
0,2.77396572266685,0.865,0.339,0,"4","Aldh1l1"
0,2.91675547044251,0.742,0.217,0,"4","Ednrb"
0,3.64380787228574,0.987,0.495,0,"4","Ntsr2"
0,2.70970136298741,0.813,0.33,0,"4","Slc25a18"
0,3.38174007058,0.562,0.096,0,"4","Fzd2"
0,2.84614450529602,0.517,0.097,0,"4","Egfr"
0,2.54779296686548,0.626,0.217,0,"4","Timp4"
0,1.86601913207136,0.64,0.247,0,"4","Gramd3"
0,2.16132902383669,0.644,0.258,0,"4","Mlc1"
0,1.73741871488862,0.631,0.249,0,"4","Axl"
0,0.848244208682021,0.42,0.109,0,"4","Pdgfrb"
0,0.286673687581238,0.858,0.582,0,"4","Gprc5b"
0,1.46285615464555,0.658,0.425,0,"4","Adgrg1"
0,2.02627826100706,0.964,0.732,0,"4","Ntrk2"
0,1.31806041729781,0.824,0.603,0,"4","Adcyap1r1"
0,1.51382629089238,0.51,0.311,0,"4","Gfap"
0,2.14916653775528,0.303,0.108,0,"4","Fgfrl1"
0,1.59006895029051,0.32,0.133,0,"4","Smo"
0,1.19238097399504,0.362,0.221,0,"4","Gpr146"
0,1.28954696719021,0.95,0.815,0,"4","Cspg5"
0,1.61855691444873,0.264,0.152,0,"4","Hrh1"
0,1.44764405804916,0.318,0.215,0,"4","Ephb3"
0,1.02839215772566,0.355,0.26,0,"4","Adra2a"
0,0.877182329443734,0.303,0.211,0,"4","Adra1a"
0,0.308589919416113,0.704,0.649,0,"4","Adgrb3"
0,0.938268668539948,0.419,0.406,0,"4","Lgr4"
0,4.96445984035566,0.948,0.086,0,"5","Cldn5"
0,4.82600220450526,0.981,0.121,0,"5","Flt1"
